Município;Ano;Produtividade media;Operação com máquinas;Mão-de-obra temporária;Sementes       ;Fertilizantes  ;Defensivos     ;Juros
Inhumas;2007;2500;345,8;395,57;100;164,66;73,8;11,37
Inhumas;2008;2500;403,1;442,96;105;255;70,8;13,62
Inhumas;2009;2500;330,75;480,64;91,5;222,33;66,41;12,17
Inhumas;2010;2500;325,96;449,03;115,2;170;67,5;13,49
Inhumas;2011;2500;449,96;459,05;74;188,84;78;15,2
Inhumas;2012;2500;449,96;524,24;74;275,6;78;16,51
Inhumas;2013;2500;507,97;534,14;78;286,4;82,5;17,87
Inhumas;2014;2500;509,3;541,42;80;306,56;90;18,52
Itapuranga;2007;2200;389,6;162,34;80;139,4;0;9,11
Itapuranga;2008;2200;429,6;181,6;84;230,67;0;10,89
Itapuranga;2009;2200;491,28;202,69;72;206,95; -   ;11,74
Itapuranga;2010;2200;566,64;205,38;100;160; -   ;12,02
Itapuranga;2011;2200;636,64;232,13;110;190; -   ;13,92
Itapuranga;2012;2200;653,3;234,03;140;194; -   ;14,38
Itapuranga;2013;2200;706,62;274,1;140;210; -   ;14,96
Itapuranga;2014;2200;724,97;297,71;140;264; -   ;17,26
Pameiras de Goiás;2007;2500;424,6;114,93;87;148,66;101,15;12,39
Pameiras de Goiás;2008;2500;460,1;135,07;126;235,16;97,85;11,44
Pameiras de Goiás;2009;2500;553,78;146,83;108;260;96,48;13,19
Pameiras de Goiás;2010;2500;516,1;158,45;120;247;127,1;13,08
Pameiras de Goiás;2011;2500;552,83;171,43;138,75;314,41;116,31;14,52
Pameiras de Goiás;2012;2500;601,4;144,64;150;383,14;129,78;16,45
Pameiras de Goiás;2013;2500;570,8;141,36;187,5;402,5;138,25;16,76
Pameiras de Goiás;2014;2500;579,8;146,88;198,75;421;154,75;17,39
Piranhas;2007;2500;192,6;496,24;85;286,95;53;11,27
Piranhas;2008;2500;204,6;555,56;105;435,95;50,48;13,93
Piranhas;2009;2500;206,28;632,09;91,5;447,37;44,27;14,36
Piranhas;2010;2500;259,4;480,07;91,5;140;36,4;11,25
Piranhas;2011;2500;260,2;534,99;110;160,95;40;12,3
Piranhas;2012;2500;275,2;581,87;125;208;42;13,97
Piranhas;2013;2500;275,2;620,51;125;232,4;45;14,66
Piranhas;2014;2500;277,2;679,08;130;256,5;64;15,54
Arari;2007;2500;0;692,47;42;0;51,1;0
Arari;2008;2500;0;817,07;43,05;0;61;30,27
Arari;2009;2500; -   ;909,48;43,75; -   ;62;29,67
Arari;2010;2500; -   ;999,06;45,5; -   ;59,8;30,21
Arari;2011;2500; -   ;1.123,01;47,25; -   ;55,8;41,02
Arari;2012;2500; -   ;1.109,71;47,25; -   ;65,8;32,5
Arari;2013;2500; -   ;1.248,43;52,5; -   ;60,8;31,08
Arari;2014;2500; -   ;1.338,63;52,5; -   ;64;44,98
Bacabal;2007;3000;400;670,09;60;0;56;68,28
Bacabal;2008;3000;250;697,86;90;0;70;25,73
Bacabal;2009;3000;250;727,09;90; -   ;70;26,5
Bacabal;2010;3000;250;792,87;34,5; -   ;70;26,39
Bacabal;2011;3000;250;895,1;39; -   ;98;29,75
Bacabal;2012;3000;272,5;914,43;40,5; -   ;100,63;30,78
Bacabal;2013;3000;300;1.050,24;40,5; -   ;105;34,54
Bacabal;2014;3000;315;1.140,34;45; -   ;87,5;36,6
Balsas;2007;2400;167,08;6,4;86,45;381,72;123,93;35,73
Balsas;2008;2400;171,33;6,8;94,25;704,1;114,78;50,35
Balsas;2009;2400;217,39;8;110,5;594,42;127,22;40,14
Balsas;2010;2400;152,92;6,46;104;457,15;83,37;106,17
Balsas;2011;2400;157,53;7,6;110,5;433,2;69,19;114,33
Balsas;2012;2400;162,15;8;110,5;433,2;83,13;111,54
Balsas;2013;2400;206,08;1,05;130;432;116,5;27,54
Balsas;2014;2400;234,19;1,4;130;545,8;133,33;32,99
Balsas;2015;2400;289,75;2,39;130;607,18;165,21;40,62
Balsas;2016;2400;282,67;2,39;169;636;170,69;42,91
Balsas;2017;2400;319,17;2,59;169;533,15;175,77;41,61
Balsas;2018;2400;358,05;2,39;182;520;181,88;42,1
Balsas;2019;2400;344,41;2,39;182;728,4;206,78;48,56
Balsas;2020;2400;356,29;2,39;211,25;684,29;201;31,73
Balsas;2021;2400;412,04;2,39;487,5;1.098,19;282,86;27,98
Balsas;2022;2400;591,64;4,79;552,5;2.268,17;316,85;154,98
Sorriso;2007;4000;146,21;4,23;108;555,33;177,38;43,52
Sorriso;2008;4000;147,42;4,23;108;747,87;171,91;46,7
Sorriso;2009;4000;164,62;27,92;120;820;181,07;50,98
Sorriso;2010;3600;85,35; -   ;120;472,87;301,77;38,71
Sorriso;2011;3600;86,83;0;144;468,17;275,93;49,67
Sorriso;2012;3600;91,93;0;157,6;665,91;342,79;57,04
Sorriso;2013;3600;80,63;9,38;172,8;704,62;339,35;45,45
Sorriso;2014;3600;168,14;0;240;706,95;470,38;56,42
Sorriso;2015;3600;185,6;0;276;918,5;639,61;84,64
Sorriso;2016;3600;199,73;0;288;765,16;591,03;86,93
Sorriso;2017;3600;205,16;0;312;794;617,86;86,88
Sorriso;2018;3600;211,18;0;312;739,9;550,79;76,3
Sorriso;2019;3600;215,01;0;336;873,15;599,59;76,4
Sorriso;2020;3250;247,46;0;320;929,85;660,86;65,78
Sorriso;2021;3250;250,11;0;300;1.464,95;804,77;41,26
Sorriso;2022;3250;418,96;0;710;2.992,16;1.243,01;370,35
